gene,k,meta_logFC,meta_SE,meta_z,meta_pvalue,tau2,I2,QEp,direction_consistency,studies,meta_FDR
RASGRP1,4,-1.0014226413238374,0.1179469643359813,-8.49044862630975,2.0584093463923878e-17,0,0,8.535603594370944e-4,1,GSE164416;GSE20966;GSE25724;GSE38642,3.937737079648638e-13
ACLY,4,-0.4225780277962223,0.0610554032043324,-6.921222457281828,4.477626926464435e-12,0,0,2.1808773611767406e-4,1,GSE164416;GSE20966;GSE25724;GSE38642,4.282850155163232e-8
PPP1R1A,4,-0.9357708097530612,0.13704858882432158,-6.828022220298797,8.609325414122369e-12,0,0,1.0791207691644663e-5,1,GSE164416;GSE20966;GSE25724;GSE38642,5.489879839072031e-8
CAPN13,3,-0.9039204976869903,0.13819281059356364,-6.5410095778824155,6.110491762587185e-11,2.8322789244446535e-7,3.705036886272739e-4,0.2475119917477174,1,GSE164416;GSE20966;GSE38642,2.9223426854573215e-7
MICB,3,0.8720146446632,0.14102799684966572,6.18327328007614,6.278588327388877e-10,0,0,0.04553565576439734,1,GSE164416;GSE20966;GSE25724,2.0018232450491537e-6
ABHD10,4,-0.47210115721671964,0.0769836394017128,-6.132486861958048,8.651585577139146e-10,3.6271993571212984e-6,0.012070388604705296,0.02459563686248543,1,GSE164416;GSE20966;GSE25724;GSE38642,2.364354744152455e-6
ENTPD3,4,-0.8139015140972565,0.13678980612342664,-5.950015846669642,2.681165289555222e-9,0,0,3.041344671676632e-4,1,GSE164416;GSE20966;GSE25724;GSE38642,6.411336498648925e-6
MTPAP,3,-0.6413337358794167,0.10845536358029924,-5.91334273112809,3.3523360719588544e-9,0,0,0.7126994180527139,1,GSE164416;GSE20966;GSE25724,7.1255765618414315e-6
MPP1,4,-0.4162324162372792,0.07080708722893682,-5.878400489650095,4.142497110119433e-9,0.0022928327488100446,9.318812830069986,0.21122252805555014,1,GSE164416;GSE20966;GSE25724;GSE38642,7.924596971658475e-6
EDARADD,3,-0.5601117593278379,0.09838560907819727,-5.693025276518427,1.2480790152740436e-8,5.820414472072225e-6,0.013708235344816026,0.4916980066840634,1,GSE164416;GSE20966;GSE38642,1.836596274014804e-5
PDLIM4,4,0.38704053952450923,0.06780646846902781,5.7080179555627355,1.142993649453701e-8,0,0,5.278049720569771e-4,1,GSE164416;GSE20966;GSE25724;GSE38642,1.836596274014804e-5
MOCS2,4,-0.30961691512127365,0.05669813633709975,-5.460795276945982,4.7400639931061894e-8,1.0723936996643546e-6,0.005369644406822533,0.513205140689953,1,GSE164416;GSE20966;GSE25724;GSE38642,6.4769588705801e-5
SLIT2,4,0.573243429757423,0.10592676859265811,5.411695621168558,6.243074268863985e-8,0,0,0.5704107780245776,0.75,GSE164416;GSE20966;GSE25724;GSE38642,7.96200071755787e-5
SH3GL2,4,-0.4367186504736619,0.08158475010499923,-5.352944636241538,8.653433180855926e-8,0,0,0.029987011149084343,1,GSE164416;GSE20966;GSE25724;GSE38642,1.0346261046860867e-4
CCL22,4,0.4957505006237185,0.09330840680878516,5.313031457493953,1.0781641716390995e-7,2.5773928934312266e-6,0.004393028988701253,0.3373481399712974,0.75,GSE164416;GSE20966;GSE25724;GSE38642,1.2132518002032925e-4
NSG1,4,-0.5907490394283106,0.11243386063434634,-5.254191540656288,1.4867609161444687e-7,0.009181133391034829,16.764361352877817,0.5364556029256909,1,GSE164416;GSE20966;GSE25724;GSE38642,1.2928061966292585e-4
TGFBR3,4,-0.5882271337065434,0.11135910268192915,-5.28225461179114,1.2760368893364618e-7,5.976937069713181e-7,9.197641880856021e-4,0.07070775361019757,1,GSE164416;GSE20966;GSE25724;GSE38642,1.2928061966292585e-4
CORO7,3,0.5391275543076425,0.10235678611750859,5.267140311427014,1.38565299063435e-7,0,0,0.8620194353616681,1,GSE164416;GSE20966;GSE25724,1.2928061966292585e-4
PRPS1,4,-0.3705961942035706,0.07035225795270489,-5.267722813569226,1.3812645909338641e-7,0,0,4.4222548557562505e-7,1,GSE164416;GSE20966;GSE25724;GSE38642,1.2928061966292585e-4
FFAR4,3,-0.7806500322346763,0.15105205022047474,-5.168086305980249,2.3650309896914685e-7,0,0,0.8573573458090334,1,GSE164416;GSE20966;GSE38642,1.6756682530665848e-4
NPEPL1,3,0.5864505512969107,0.11341047923773864,5.171043762786274,2.3279003661025575e-7,0,0,0.7625788021562897,1,GSE164416;GSE20966;GSE25724,1.6756682530665848e-4
RCBTB1,4,-0.37452537184941626,0.07257820656505104,-5.160300723519991,2.465534777804568e-7,3.346597820122439e-6,0.011108320662390696,0.030856929109580093,1,GSE164416;GSE20966;GSE25724;GSE38642,1.684488582121478e-4
ANO5,3,-0.5044290425372506,0.09809035354382131,-5.1424938774626785,2.711152801165312e-7,3.916652452268312e-7,9.666844718581515e-4,0.1699751942547555,1,GSE164416;GSE20966;GSE38642,1.788425968492842e-4
COA3,4,-0.35811082127453153,0.07034854723024704,-5.0905219137284234,3.5707930036829037e-7,0,0,3.2542695295791176e-7,1,GSE164416;GSE20966;GSE25724;GSE38642,2.2035248438856113e-4
PLA1A,4,-0.5582621923244164,0.11067589917192795,-5.0441170706658705,4.556202913375214e-7,0,0,1.2660500818223998e-5,1,GSE164416;GSE20966;GSE25724;GSE38642,2.645349794380645e-4
CD86,4,0.4525015541327648,0.08971409120218876,5.043818067698657,4.563332107399962e-7,0,0,0.6283458016683086,0.75,GSE164416;GSE20966;GSE25724;GSE38642,2.645349794380645e-4
CYP2D6,3,0.6482017714534895,0.12933086825981163,5.011964894191561,5.387703483606177e-7,0,0,0.5665878087940018,1,GSE164416;GSE20966;GSE25724,3.031375518864299e-4
LTB4R,3,0.5824909340487023,0.11662588182998074,4.994525442455971,5.898061613376172e-7,1.8323818706599396e-7,2.916499415838976e-4,0.11864100079408214,1,GSE164416;GSE20966;GSE25724,3.1341644073301715e-4
NECTIN3,4,-0.5925970055188094,0.11978951948612734,-4.946985412922015,7.53716222505196e-7,0.011982210840931266,18.421444838034777,0.25692310814134106,1,GSE164416;GSE20966;GSE25724;GSE38642,3.8014272247237363e-4
NDUFA5,4,-0.30808784561386676,0.06233517320126607,-4.942439874501051,7.715090248776306e-7,0,0,0.006752930219686668,1,GSE164416;GSE20966;GSE25724;GSE38642,3.8014272247237363e-4
PLCXD3,3,-0.5712364846076045,0.1157813997331564,-4.933750031733457,8.066566391865203e-7,0,0,0.7844141001226534,1,GSE164416;GSE20966;GSE38642,3.8578353769095334e-4
PPM1K,3,-0.429135207030894,0.08748831607832608,-4.905057340990539,9.340004995258523e-7,0,0,0.0037792803577799865,1,GSE164416;GSE20966;GSE38642,4.254149894268942e-4
TGFB3,4,0.5448463998977314,0.11154680930866007,4.884464228735511,1.037104679468373e-6,0,0,0.005375991606448634,1,GSE164416;GSE20966;GSE25724;GSE38642,4.528371836019747e-4
GRAMD3,3,-0.49627046707014133,0.1016193550052495,-4.88362150147976,1.0415491938571295e-6,0,0,0.007092831193286831,1,GSE20966;GSE25724;GSE38642,4.528371836019747e-4
ASB9,4,-0.7223833714870848,0.14861769715272757,-4.860682040744614,1.1698201473998073e-6,0,0,1.7164301936870336e-6,1,GSE164416;GSE20966;GSE25724;GSE38642,4.5670733509710847e-4
GNG7,4,-0.3758071084914383,0.07725797860611407,-4.864314537756979,1.148541435273971e-6,0,0,6.0067862191730335e-6,0.75,GSE164416;GSE20966;GSE25724;GSE38642,4.5670733509710847e-4
LMBRD1,4,-0.3197918228523517,0.06579092685771593,-4.860728342434754,1.1695465465772657e-6,0,0,1.3998570081562986e-6,1,GSE164416;GSE20966;GSE25724;GSE38642,4.5670733509710847e-4
SLC17A5,4,-0.2910475290877282,0.059866704758470085,-4.861592604135274,1.164450833188876e-6,3.445319856178257e-6,0.01686180771690433,0.07713547487700635,1,GSE164416;GSE20966;GSE25724;GSE38642,4.5670733509710847e-4
ZFAND6,4,-0.25432744469599017,0.05229604239171373,-4.863225457693299,1.1548817245290366e-6,0,0,9.366862029292165e-5,1,GSE164416;GSE20966;GSE25724;GSE38642,4.5670733509710847e-4
PDE8B,4,-0.5000451362448562,0.10328368599940929,-4.8414726043735135,1.2888044605841816e-6,0,0,0.5937941774735106,1,GSE164416;GSE20966;GSE25724;GSE38642,4.930965866195079e-4
ADAM28,4,0.6636584114743069,0.13739504887019935,4.830293499886464,1.3633194038968217e-6,0,0,0.6254574962758123,1,GSE164416;GSE20966;GSE25724;GSE38642,5.057300064211242e-4
FBXO7,4,-0.32240469369502295,0.06676927595189051,-4.828638458313166,1.3746973514844988e-6,0.004394051685233314,24.048753092680016,0.038672496386284165,1,GSE164416;GSE20966;GSE25724;GSE38642,5.057300064211242e-4
PEBP1,4,-0.29076990809982095,0.06037810817275664,-4.81581680677799,1.4659897231443513e-6,2.5244321499312725e-7,0.0011661524170629683,0.048179712242338385,0.75,GSE164416;GSE20966;GSE25724;GSE38642,5.291393095047441e-4
MRPS33,4,-0.29852851477577735,0.06207148498928247,-4.809430849404079,1.513606455768594e-6,0,0,0.26136021646399094,1,GSE164416;GSE20966;GSE25724;GSE38642,5.362091018306149e-4
CCR7,4,0.4271578315815679,0.08929225551322684,4.783817242899561,1.7199708067001424e-6,0,0,0.06831260634080814,1,GSE164416;GSE20966;GSE25724;GSE38642,5.875543130745307e-4
CFH,4,0.777473347092239,0.16291572853307704,4.772242398525612,1.8218604942494515e-6,0,0,0.6276402197937763,1,GSE164416;GSE20966;GSE25724;GSE38642,5.973487685854968e-4
PDPN,4,0.38473521888728934,0.08065739060760808,4.7699933755481405,1.8423197776552174e-6,0,0,0.48909652344265186,0.75,GSE164416;GSE20966;GSE25724;GSE38642,5.973487685854968e-4
KIF3B,4,-0.19826920194676778,0.041733967961185975,-4.75078722759276,2.0262625390687627e-6,1.6517485475700928e-6,0.016387307909086164,0.2108008236709069,0.75,GSE164416;GSE20966;GSE25724;GSE38642,6.354492192194332e-4
THBS2,4,0.6799635534673707,0.14436341415614715,4.710082242387983,2.4761685234309055e-6,2.7917490765796556e-6,0.002781728769922221,0.18817559105423864,1,GSE164416;GSE20966;GSE25724;GSE38642,7.518905373529083e-4
RASD2,3,0.5546666130766393,0.11800140883505947,4.70050839691197,2.5951458410957563e-6,0,0,0.007708937196015871,1,GSE164416;GSE20966;GSE38642,7.757053115650285e-4
AGTPBP1,4,-0.26931315844964515,0.05826319189466288,-4.622355035689612,3.794079376701204e-6,0,0,0.014316303240802877,1,GSE164416;GSE20966;GSE25724;GSE38642,0.0010518947605260003
PTGES,4,0.4800925151892708,0.10437016419796066,4.599901886507251,4.2268997629461476e-6,2.6035321387553654e-7,4.076240725834959e-4,0.01708172918485366,1,GSE164416;GSE20966;GSE25724;GSE38642,0.0011551513209308543
PFKFB2,4,-0.7981120969371516,0.17456246785723914,-4.572071572623873,4.829259150354486e-6,0.04850313264846593,42.97397087129915,0.012867312937025902,1,GSE164416;GSE20966;GSE25724;GSE38642,0.00127812284887955
DOCK5,4,0.5262468649126248,0.11536581128793222,4.561549553005853,5.077748903023827e-6,1.3347409568100244e-7,2.0609099822868838e-4,0.3089801087590445,1,GSE164416;GSE20966;GSE25724;GSE38642,0.00127812284887955
INPP5F,4,-0.4198454545948993,0.09191447050023564,-4.567784074802704,4.929074061536022e-6,0,0,0.05087889049955074,1,GSE164416;GSE20966;GSE25724;GSE38642,0.00127812284887955
FST,4,0.4070947672137554,0.08923013748050138,4.562301243822627,5.059598226865722e-6,0,0,0.8511103076278477,1,GSE164416;GSE20966;GSE25724;GSE38642,0.00127812284887955
HACD3,4,-0.30002941966329916,0.06573289115083401,-4.564372788271803,5.009898729051496e-6,4.468022826381622e-6,0.02117654775787401,0.3078926789748461,1,GSE164416;GSE20966;GSE25724;GSE38642,0.00127812284887955
TUBGCP5,4,-0.259628208826041,0.05738676623857683,-4.524182591970348,6.062936619671213e-6,0,0,0.5967992247913996,1,GSE164416;GSE20966;GSE25724;GSE38642,0.0014702856945687285
SRD5A1,4,-0.37634529267363215,0.08331182014707926,-4.517309692781043,6.263027295624134e-6,5.640775728503142e-7,8.842640708599807e-4,0.06396686334618593,1,GSE164416;GSE20966;GSE25724;GSE38642,0.0014791569403122184
