module,gene
StressInflammation,CRISP3
StressInflammation,APOD
StressInflammation,HLA-DPA1
StressInflammation,MICB
StressInflammation,IL1RL1
StressInflammation,CFH
StressInflammation,TMPRSS3
StressInflammation,THBS2
StressInflammation,ADORA3
StressInflammation,ADAM28
StressInflammation,CYP2D6
StressInflammation,HLA-DRA
StressInflammation,ADAMTS9
StressInflammation,APOL1
StressInflammation,IL1R2
StressInflammation,RELN
StressInflammation,MATN1
StressInflammation,SIPA1
StressInflammation,IDO1
StressInflammation,NPEPL1
StressInflammation,SERPING1
StressInflammation,CXCL12
StressInflammation,LTB4R
StressInflammation,FPR3
StressInflammation,SMOC2
StressInflammation,SLIT2
StressInflammation,TMPRSS4
StressInflammation,RASD2
StressInflammation,TNFRSF10A
StressInflammation,TGFB3
StressInflammation,CORO7
StressInflammation,CLDN18
StressInflammation,SLC6A20
StressInflammation,CACTIN
StressInflammation,PRR36
StressInflammation,PDE7B
StressInflammation,DOCK5
StressInflammation,MROH7
StressInflammation,LYVE1
StressInflammation,GBP2
IdentitySecretion,RASGRP1
IdentitySecretion,PPP1R1A
IdentitySecretion,CAPN13
IdentitySecretion,ENTPD3
IdentitySecretion,PFKFB2
IdentitySecretion,ADCYAP1
IdentitySecretion,FFAR4
IdentitySecretion,TMED6
IdentitySecretion,ASB9
IdentitySecretion,MTPAP
IdentitySecretion,NECTIN3
IdentitySecretion,NSG1
IdentitySecretion,TGFBR3
IdentitySecretion,PLCXD3
IdentitySecretion,SLC16A9
IdentitySecretion,EDARADD
IdentitySecretion,PLA1A
IdentitySecretion,FAM47E-STBD1
IdentitySecretion,NPTX2
IdentitySecretion,ROBO2
IdentitySecretion,ANO5
IdentitySecretion,PDE8B
IdentitySecretion,GRAMD3
IdentitySecretion,TAGLN3
IdentitySecretion,PPM1E
IdentitySecretion,ABHD10
IdentitySecretion,MOB4
IdentitySecretion,PDZK1
IdentitySecretion,MTUS2
IdentitySecretion,TTC7B
IdentitySecretion,SH3GL2
IdentitySecretion,MED27
IdentitySecretion,CTNNA2
IdentitySecretion,PPM1K
IdentitySecretion,DACH2
IdentitySecretion,ACLY
IdentitySecretion,CASR
IdentitySecretion,INPP5F
IdentitySecretion,MPP1
IdentitySecretion,TMCC3
