pathway,logFC,pvalue,FDR,study
HALLMARK_ADIPOGENESIS,-0.08568610590195903,0.001378567592029191,0.010967998327074135,GSE25724
HALLMARK_ALLOGRAFT_REJECTION,0.05060065265510057,0.02042162206656468,0.051054055166411705,GSE25724
HALLMARK_ANDROGEN_RESPONSE,-0.06495696209598241,0.04885215821836237,0.09394645811223533,GSE25724
HALLMARK_ANGIOGENESIS,-0.026112045829859726,0.4238898914784489,0.5046308231886296,GSE25724
HALLMARK_APICAL_JUNCTION,0.04977895618597612,0.008049912490509533,0.027141886642731494,GSE25724
HALLMARK_APICAL_SURFACE,0.08497280273534322,0.003407235612638363,0.017036178063191815,GSE25724
HALLMARK_APOPTOSIS,-0.0039092833279386905,0.8610175088065173,0.8968932383401222,GSE25724
HALLMARK_BILE_ACID_METABOLISM,-0.055333911418602055,0.005869209294981148,0.022573881903773647,GSE25724
HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.05002360979081066,0.03723589892354019,0.07757478942404207,GSE25724
HALLMARK_COAGULATION,0.04614728255118321,0.0128097735608592,0.040030542377685,GSE25724
HALLMARK_COMPLEMENT,0.0052919384239390474,0.8055813479169597,0.8570014339542124,GSE25724
HALLMARK_DNA_REPAIR,-0.0442146835510351,0.030280516733095172,0.06881935621157995,GSE25724
HALLMARK_E2F_TARGETS,-0.12096401727605437,8.96409422000485e-4,0.010967998327074135,GSE25724
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,3.0766933676545217e-4,0.9922287079569428,0.9922287079569428,GSE25724
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.0049981437932718744,0.7693458650583018,0.8548287389536687,GSE25724
HALLMARK_ESTROGEN_RESPONSE_LATE,0.015031623098421477,0.316098886819031,0.43902623169309857,GSE25724
HALLMARK_FATTY_ACID_METABOLISM,-0.07515144827648443,0.008142565992819447,0.027141886642731494,GSE25724
HALLMARK_G2M_CHECKPOINT,-0.054193607945391596,0.034644179949487694,0.07531343467279933,GSE25724
HALLMARK_GLYCOLYSIS,-0.016576085455500378,0.3613312386954911,0.46324517781473223,GSE25724
HALLMARK_HEDGEHOG_SIGNALING,-0.03306909883747034,0.17793871590486982,0.26167458221304385,GSE25724
HALLMARK_HEME_METABOLISM,-0.026318852050725063,0.06312988593779828,0.11585815916717111,GSE25724
HALLMARK_HYPOXIA,0.0020685857737201187,0.9270402462542997,0.9459594349533671,GSE25724
HALLMARK_IL2_STAT5_SIGNALING,-0.004698458239545548,0.7892706807138119,0.8570014339542124,GSE25724
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.08369973559644567,0.015168475674724064,0.042134654652011286,GSE25724
HALLMARK_INFLAMMATORY_RESPONSE,0.05990268042424173,0.06719773231695925,0.11585815916717111,GSE25724
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.09387618106269409,0.0661997618160327,0.11585815916717111,GSE25724
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.07846954665258667,0.04839938846365353,0.09394645811223533,GSE25724
HALLMARK_KRAS_SIGNALING_DN,0.12144050145128511,0.00437461750436373,0.018227572934848876,GSE25724
HALLMARK_KRAS_SIGNALING_UP,-0.025198094016845893,0.42306190039070635,0.5046308231886296,GSE25724
HALLMARK_MITOTIC_SPINDLE,-0.012155548603458292,0.5535130650816673,0.6289921194109857,GSE25724
HALLMARK_MTORC1_SIGNALING,-0.12261694249409043,0.00199254485476727,0.011907519565258843,GSE25724
HALLMARK_MYC_TARGETS_V1,-0.16435428617010125,3.7196648149321335e-4,0.009299162037330333,GSE25724
HALLMARK_MYC_TARGETS_V2,-0.03210400851550042,0.39254995368184653,0.4906874421023082,GSE25724
HALLMARK_MYOGENESIS,0.06861409012880663,0.0012450691750758717,0.010967998327074135,GSE25724
HALLMARK_NOTCH_SIGNALING,-0.015806181523832785,0.452638738587986,0.526324114637193,GSE25724
HALLMARK_OXIDATIVE_PHOSPHORYLATION,-0.12965812421802744,0.0015355197657903788,0.010967998327074135,GSE25724
HALLMARK_P53_PATHWAY,0.021132911562450153,0.1429927906184604,0.22342623534134437,GSE25724
HALLMARK_PANCREAS_BETA_CELLS,-0.1762820002537856,0.002143353521746592,0.011907519565258843,GSE25724
HALLMARK_PEROXISOME,-0.09814117480412082,0.0012365247479992373,0.010967998327074135,GSE25724
HALLMARK_PI3K_AKT_MTOR_SIGNALING,-0.029584029668332013,0.0950787213538261,0.15335277637713887,GSE25724
HALLMARK_PROTEIN_SECRETION,-0.22408609925184322,6.837423711846678e-5,0.003418711855923339,GSE25724
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,-0.02334696314898459,0.3335673163383438,0.4472427024867617,GSE25724
HALLMARK_SPERMATOGENESIS,-0.05248233822111244,0.014022400297263269,0.04124235381548021,GSE25724
HALLMARK_TGF_BETA_SIGNALING,-0.04941992724986237,0.2632998322980155,0.3761426175685936,GSE25724
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.04621064546524731,0.33990445388993884,0.4472427024867617,GSE25724
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,-0.07094054251143476,0.003906790194374813,0.017758137247158245,GSE25724
HALLMARK_UV_RESPONSE_DN,-0.10680197106489606,0.019728446052398214,0.051054055166411705,GSE25724
HALLMARK_UV_RESPONSE_UP,-0.029143901247936525,0.15674690622812748,0.23749531246685981,GSE25724
HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.03730598827407591,0.02614773375374917,0.062256508937498026,GSE25724
HALLMARK_XENOBIOTIC_METABOLISM,-0.02941854721967022,0.07865899289099633,0.1310983214849939,GSE25724
HALLMARK_ADIPOGENESIS,0.0033148668468537122,0.5719334546135817,0.7332480187353612,GSE20966
HALLMARK_ALLOGRAFT_REJECTION,0.034139477384655836,6.714660478946922e-4,0.016786651197367306,GSE20966
HALLMARK_ANDROGEN_RESPONSE,-0.008841438158928783,0.1703060221860032,0.3406120443720064,GSE20966
HALLMARK_ANGIOGENESIS,0.02452267944890019,0.2912081273121685,0.48534687885361416,GSE20966
HALLMARK_APICAL_JUNCTION,0.016859132828698258,0.08681945351810973,0.24902979092057945,GSE20966
HALLMARK_APICAL_SURFACE,0.004920963353052405,0.6461074578243375,0.7879359241760213,GSE20966
HALLMARK_APOPTOSIS,0.018789329973188083,0.05552905762870807,0.24902979092057945,GSE20966
HALLMARK_BILE_ACID_METABOLISM,-0.0012085384493464796,0.8592809713442595,0.8928292239964942,GSE20966
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.011220487278512324,0.25746853737799363,0.47679358773702524,GSE20966
HALLMARK_COAGULATION,0.029152906744857918,0.04876595019297744,0.24902979092057945,GSE20966
HALLMARK_COMPLEMENT,0.010333958586904808,0.15452704383458604,0.33528628920092995,GSE20966
HALLMARK_DNA_REPAIR,0.01006976349994939,0.12341278765448838,0.32352827883499946,GSE20966
HALLMARK_E2F_TARGETS,0.005329296410775642,0.4817047698732735,0.6690344026017687,GSE20966
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.045731472347810276,0.07075775440429764,0.24902979092057945,GSE20966
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.017329335564420126,0.06165907767568499,0.24902979092057945,GSE20966
