pathway,k,mean_logFC,direction_consistency,n_sig
HALLMARK_ALLOGRAFT_REJECTION,4,0.037448372859756274,1,3
HALLMARK_PANCREAS_BETA_CELLS,4,-0.063896591897438,1,2
HALLMARK_IL6_JAK_STAT3_SIGNALING,4,0.045935246180173216,1,2
HALLMARK_MYC_TARGETS_V1,4,-0.04175361823809474,0.75,2
HALLMARK_MYOGENESIS,4,0.03840407609176275,1,2
HALLMARK_OXIDATIVE_PHOSPHORYLATION,4,-0.03815551764942796,1,2
HALLMARK_COAGULATION,4,0.03804464923714849,1,2
HALLMARK_INFLAMMATORY_RESPONSE,4,0.03699558642728745,1,2
HALLMARK_E2F_TARGETS,4,-0.03102500255518333,0.5,2
HALLMARK_APICAL_JUNCTION,4,0.028850776529176662,1,2
HALLMARK_ESTROGEN_RESPONSE_LATE,4,0.020093250542886413,1,2
HALLMARK_KRAS_SIGNALING_UP,4,0.016984593329735363,0.75,2
HALLMARK_MYC_TARGETS_V2,4,-0.003701381231690214,0.5,2
HALLMARK_PROTEIN_SECRETION,4,-0.0627041122174655,1,1
HALLMARK_INTERFERON_ALPHA_RESPONSE,4,0.04600397983839392,1,1
HALLMARK_INTERFERON_GAMMA_RESPONSE,4,0.04351092210674225,1,1
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,4,0.04318464746518203,1,1
HALLMARK_TNFA_SIGNALING_VIA_NFKB,4,0.041663010903624904,1,1
HALLMARK_KRAS_SIGNALING_DN,4,0.034331282579067444,1,1
HALLMARK_MTORC1_SIGNALING,4,-0.031231637225167207,0.75,1
HALLMARK_APICAL_SURFACE,4,0.028844863105433095,1,1
HALLMARK_PEROXISOME,4,-0.027518897321897218,1,1
HALLMARK_ANGIOGENESIS,4,0.026131990112792183,0.75,1
HALLMARK_FATTY_ACID_METABOLISM,4,-0.022219364538780366,1,1
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,4,-0.020288881274873827,0.75,1
HALLMARK_ADIPOGENESIS,4,-0.018799492757591824,0.25,1
HALLMARK_WNT_BETA_CATENIN_SIGNALING,4,0.018500190309989503,1,1
HALLMARK_BILE_ACID_METABOLISM,4,-0.018388665538869586,1,1
HALLMARK_SPERMATOGENESIS,4,-0.018157632487304256,1,1
HALLMARK_UV_RESPONSE_DN,4,-0.017546211865939156,0.5,1
HALLMARK_APOPTOSIS,4,0.016906808515637785,0.75,1
HALLMARK_COMPLEMENT,4,0.016234741254104214,1,1
HALLMARK_P53_PATHWAY,4,0.015394559309237136,1,1
HALLMARK_ESTROGEN_RESPONSE_EARLY,4,0.01471960576900263,1,1
HALLMARK_HYPOXIA,4,0.014053866838046204,1,1
HALLMARK_HEDGEHOG_SIGNALING,4,-0.011515915981830015,0.75,1
HALLMARK_IL2_STAT5_SIGNALING,4,0.011231301471571479,0.75,1
HALLMARK_PI3K_AKT_MTOR_SIGNALING,4,-0.004274755717345612,0.25,1
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,4,0.0025294378700269887,0.75,1
HALLMARK_TGF_BETA_SIGNALING,4,0.001601946777990327,0.75,1
HALLMARK_UV_RESPONSE_UP,4,-0.0011825112401165473,0.25,1
HALLMARK_MITOTIC_SPINDLE,4,0.0010180836164128267,0.5,1
HALLMARK_ANDROGEN_RESPONSE,4,-0.015461850643671345,0.5,0
HALLMARK_DNA_REPAIR,4,-0.009738031380736829,0.5,0
HALLMARK_NOTCH_SIGNALING,4,0.009271309223399672,0.75,0
HALLMARK_G2M_CHECKPOINT,4,-0.008774395996444377,0.5,0
HALLMARK_CHOLESTEROL_HOMEOSTASIS,4,-0.007056462996030411,0.25,0
HALLMARK_HEME_METABOLISM,4,-0.004964115634744824,0.5,0
HALLMARK_GLYCOLYSIS,4,0.0027690332729784564,0.75,0
HALLMARK_XENOBIOTIC_METABOLISM,4,-3.853228082134181e-4,0.25,0
