study,module,n_ND,n_T2D,mean_ND,mean_T2D,cohens_d,ttest_pvalue,wilcox_pvalue
GSE25724,ImmuneStress,7,6,-0.5111541309598973,0.5963464861198802,2.8657608539438355,0.001450600790158671,0.0011655011655011655
GSE25724,BetaCellIdentitySecretion,7,6,0.4137496291263108,-0.48270790064736246,-1.362840164644729,0.03245393936035404,0.022144522144522144
GSE25724,IsletDysfunctionScore,7,6,-0.924903760086208,1.0790543867672426,2.183760922629805,0.0022752333848156483,0.0011655011655011655
GSE20966,ImmuneStress,10,10,-0.24681374184695032,0.24681374184695035,1.2100911733768065,0.019606538097622455,0.023230639329710537
GSE20966,BetaCellIdentitySecretion,10,10,0.48800682970116244,-0.48800682970116266,-3.9074525076018936,1.4971982542295653e-7,1.082508822446903e-5
GSE20966,IsletDysfunctionScore,10,10,-0.7348205715481128,0.7348205715481131,2.736130428705967,2.0404145848581493e-5,1.082508822446903e-5
GSE38642,ImmuneStress,54,9,-0.12186340356908087,0.7311804214144862,1.802620839626849,1.999876420827627e-5,6.965075439264374e-5
GSE38642,BetaCellIdentitySecretion,54,9,0.14335609798322008,-0.8601365878993196,-1.3157688826351088,0.0056835044065866765,0.0015130983356107595
GSE38642,IsletDysfunctionScore,54,9,-0.26521950155230095,1.5913170093138058,1.6901056972167419,6.693537005216899e-4,1.561638518656328e-4
GSE164416,ImmuneStress,18,39,-0.5103928014591746,-0.08291808690442472,0.630549652780658,0.054181447315651575,0.08138430987174755
GSE164416,BetaCellIdentitySecretion,18,39,0.15026299842866545,-0.5524143396955569,-0.827192212782174,0.010078018827494626,0.004052969431895178
GSE164416,IsletDysfunctionScore,18,39,-0.6606557998878402,0.4694962527911322,1.63360086598865,3.449633346342229e-8,3.7729164096319174e-7
