study,disease_group,n,ImmuneStress_mean,ImmuneStress_sd,BetaCellIdentitySecretion_mean,BetaCellIdentitySecretion_sd,IsletDysfunctionScore_mean,IsletDysfunctionScore_sd
GSE164416,IGT,38,0.08163389493098087,0.8412896405573951,0.4084569380907705,0.6639624272341701,-0.3268230431597896,0.808250763626496
GSE164416,ND,18,-0.5103928014591746,0.7970487438869327,0.15026299842866545,0.9337463501947599,-0.6606557998878402,0.5144542288782791
GSE164416,T2D,39,-0.08291808690442472,0.6172574668051255,-0.5524143396955569,0.8089341571427566,0.4694962527911322,0.757841135862124
GSE164416,T3cD,35,0.2533282927571872,0.7185167291638029,0.08620525142719537,0.706392665382884,0.16712304132999184,0.7846232671956626
GSE164416,NA,3,0.15076585388629085,1.3839295372782885,0.10029260966988458,0.6200429725408495,0.05047324421640629,1.9528959274464537
GSE20966,ND,10,-0.24681374184695032,0.2068832756144308,0.48800682970116244,0.28725072108258454,-0.7348205715481128,0.39529919396683566
GSE20966,T2D,10,0.24681374184695035,0.5385223544933169,-0.48800682970116266,0.20559601407748246,0.7348205715481131,0.6486468922193896
GSE25724,ND,7,-0.5111541309598973,0.2662753559074587,0.4137496291263108,0.8524253255556952,-0.924903760086208,1.1009236421163613
GSE25724,T2D,6,0.5963464861198802,0.49344611315350123,-0.48270790064736246,0.28274961863272385,1.0790543867672426,0.6310271479614656
GSE38642,ND,54,-0.12186340356908087,0.4889732080303582,0.14335609798322008,0.7549668388970686,-0.26521950155230095,1.098863642197216
GSE38642,T2D,9,0.7311804214144862,0.351494327265877,-0.8601365878993196,0.8118334902217761,1.5913170093138058,1.0958861602729464
